Rank,Name,Username,Follower Count,Total Likes,Est. Net Worth (Dollars)
1,Charli D'amelio,charlidamelio,95765807,7400000000,4000000
2,Addison Rae Easterling,addisonre,66618928,4100000000,5000000
3,Zach King,zachking,51905901,608000000,3000000
4,Loren Gray,lorengray,48502407,2600000000,2600000
5,TikTok,tiktok,48300000,240800000,75000000000
6,Spencer Polanco Knight,spencerx,47295991,1100000000,1200000
7,Riyaz Aly,riyaz.14,43600000,2000000000,2000000
8,Dixie D'amelio,dixiedamelio,41932945,1400000000,2900000
9,Michael Le,justmaiko,41393329,1100000000,1200000
10,Will Smith,willsmith,40149435,204100000,250000000